day,type
1,1
2,1
3,1
4,1
5,1
6,2
7,3
8,1
9,1
10,1
11,1
12,1
13,2
14,3
15,1
16,1
17,1
18,1
19,1
20,2
21,3
22,1
23,1
24,1
25,1
26,1
27,2
28,3
29,1
30,1
31,1
32,1
33,1
34,2
35,3
36,1
37,1
38,1
39,1
40,1
41,2
42,3
43,1
44,1
45,1
46,1
47,1
48,2
49,3
50,1
51,1
52,1
53,1
54,1
55,2
56,3
57,1
58,1
59,1
60,1
61,1
62,2
63,3
64,1
65,1
66,1
67,1
68,1
69,2
70,3
71,1
72,1
73,1
74,1
75,1
76,2
77,3
78,1
79,1
80,1
81,1
82,1
83,2
84,3
85,1
86,1
87,1
88,1
89,1
90,2
91,3
92,1
93,1
94,1
95,1
96,1
97,2
98,3
99,1
100,1
101,1
102,1
103,1
104,2
105,3
106,1
107,1
108,1
109,1
110,1
111,2
112,3
113,1
114,1
115,1
116,1
117,1
118,2
119,3
120,1
121,1
122,1
123,1
124,1
125,2
126,3
127,1
128,1
129,1
130,1
131,1
132,2
133,3
134,1
135,1
136,1
137,1
138,1
139,2
140,3
141,1
142,1
143,1
144,1
145,1
146,2
147,3
148,1
149,1
150,1
151,1
152,1
153,2
154,3
155,1
156,1
157,1
158,1
159,1
160,2
161,3
162,1
163,1
164,1
165,1
166,1
167,2
168,3
169,1
170,1
171,1
172,1
173,1
174,2
175,3
176,1
177,1
178,1
179,1
180,1
181,2
182,3
183,1
184,1
185,1
186,1
187,1
188,2
189,3
190,1
191,1
192,1
193,1
194,1
195,2
196,3
197,1
198,1
199,1
200,1
201,1
202,2
203,3
204,1
205,1
206,1
207,1
208,1
209,2
210,3
211,1
212,1
213,1
214,1
215,1
216,2
217,3
218,1
219,1
220,1
221,1
222,1
223,2
224,3
225,1
226,1
227,1
228,1
229,1
230,2
231,3
232,1
233,1
234,1
235,1
236,1
237,2
238,3
239,1
240,1
241,1
242,1
243,1
244,2
245,3
246,1
247,1
248,1
249,1
250,1
251,2
252,3
253,1
254,1
255,1
256,1
257,1
258,2
259,3
260,1
261,1
262,1
263,1
264,1
265,2
266,3
267,1
268,1
269,1
270,1
271,1
272,2
273,3
274,1
275,1
276,1
277,1
278,1
279,2
280,3
281,1
282,1
283,1
284,1
285,1
286,2
287,3
288,1
289,1
290,1
291,1
292,1
293,2
294,3
295,1
296,1
297,1
298,1
299,1
300,2
301,3
302,1
303,1
304,1
305,1
306,1
307,2
308,3
309,1
310,1
311,1
312,1
313,1
314,2
315,3
316,1
317,1
318,1
319,1
320,1
321,2
322,3
323,1
324,1
325,1
326,1
327,1
328,2
329,3
330,1
331,1
332,1
333,1
334,1
335,2
336,3
337,1
338,1
339,1
340,1
341,1
342,2
343,3
344,1
345,1
346,1
347,1
348,1
349,2
350,3
351,1
352,1
353,1
354,1
355,1
356,2
357,3
358,1
359,1
360,1
361,1
362,1
363,2
364,3
365,1
