hour,day,temp,PV_kW
1,1, 24.00 ,0
2,1, 23.50 ,0
3,1, 23.00 ,0
4,1, 22.50 ,0
5,1, 22.00 ,0
6,1, 21.50 ,0
7,1, 21.00 ,0.02791
8,1, 22.00 ,0.18531
9,1, 24.00 ,0.41107
10,1, 26.00 ,0.60616
11,1, 27.00 ,0.7415
12,1, 28.00 ,0.81192
13,1, 29.00 ,0.76307
14,1, 30.00 ,0.65424
15,1, 29.80 ,0.60528
16,1, 29.00 ,0.40737
17,1, 28.00 ,0.16803
18,1, 27.00 ,0.03877
19,1, 26.40 ,0
20,1, 25.80 ,0
21,1, 25.20 ,0
22,1, 24.70 ,0
23,1, 24.10 ,0
24,1, 23.50 ,0
25,2, 22.90 ,0
26,2, 22.30 ,0
27,2, 21.70 ,0
28,2, 21.20 ,0
29,2, 20.60 ,0
30,2, 20.00 ,0
31,2, 20.50 ,0.02685
32,2, 21.00 ,0.1552
33,2, 24.00 ,0.3517
34,2, 24.20 ,0.53309
35,2, 24.30 ,0.66486
36,2, 24.50 ,0.72095
37,2, 31.00 ,0.73346
38,2, 31.00 ,0.65999
39,2, 31.30 ,0.53783
40,2, 31.00 ,0.36989
41,2, 30.00 ,0.17456
42,2, 28.00 ,0.03766
43,2, 27.00 ,0
44,2, 26.00 ,0
45,2, 25.00 ,0
46,2, 24.70 ,0
47,2, 24.40 ,0
48,2, 24.20 ,0
49,3, 23.90 ,0
50,3, 23.60 ,0
51,3, 23.30 ,0
52,3, 23.10 ,0
53,3, 22.80 ,0
54,3, 22.50 ,0
55,3, 23.00 ,0.02644
56,3, 24.00 ,0.13689
57,3, 26.00 ,0.30649
58,3, 27.20 ,0.38844
59,3, 28.30 ,0.65226
60,3, 29.50 ,0.67604
61,3, 31.00 ,0.63585
62,3, 31.00 ,0.62763
63,3, 32.00 ,0.5403
64,3, 30.00 ,0.34707
65,3, 29.00 ,0.15716
66,3, 27.00 ,0.03994
67,3, 26.70 ,0
68,3, 26.40 ,0
69,3, 26.10 ,0
70,3, 25.80 ,0
71,3, 25.50 ,0
72,3, 25.20 ,0
73,4, 24.80 ,0
74,4, 24.50 ,0
75,4, 24.20 ,0
76,4, 23.90 ,0
77,4, 23.60 ,0
78,4, 23.30 ,0
79,4, 23.00 ,0.02566
80,4, 24.00 ,0.14783
81,4, 25.00 ,0.31632
82,4, 29.00 ,0.41123
83,4, 29.90 ,0.58022
84,4, 30.90 ,0.68005
85,4, 31.00 ,0.66792
86,4, 31.00 ,0.6438
87,4, 30.00 ,0.52587
88,4, 29.00 ,0.37636
